Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Seoul,2.00,2.00,0.00,1.91,1.94,-0.03,0.09,0.06,0.03,2.00,2.00,0.00,0,1,-1,-1.00,59.10,58.96,46.47,1.35,0.75,223,16,13,9,9.63,12.0,8.82,8,6,22,5,2,106.6,71.5,20.73,21.46,47.67,38.61,1,Seoul 0-1 Daejeon Hana Citizen,2026-04-18
Jeonbuk Motors,4.53,0.95,3.58,4.13,0.53,3.60,0.40,0.42,-0.02,4.53,0.95,3.58,1,1,0,-3.58,59.10,47.37,42.67,0.78,0.51,168,15,18,11,23.08,21.57,7.22,3,11,18,5,13,93.4,51.66,22.4,19.87,59.33,35.51,1,Gangwon 1-1 Jeonbuk Motors,2026-04-18
Gangwon,0.95,4.53,-3.58,0.53,4.13,-3.60,0.42,0.40,0.02,0.95,4.53,-3.58,1,1,0,3.58,40.90,52.63,53.34,0.51,0.78,190,6,11,18,21.57,23.08,9.41,11,3,19,5,19,87.4,48.34,90.33,80.13,107.77,64.49,1,Gangwon 1-1 Jeonbuk Motors,2026-04-18
Seoul,3.10,3.65,-0.55,2.87,3.37,-0.50,0.23,0.28,-0.05,3.10,3.65,-0.55,4,1,3,3.55,50.30,42.01,45.65,0.8,1.03,210,16,15,26,18.75,25.24,14.57,3,11,13,4,12,103.7,39.25,57.47,49.06,112.8,49.47,0,Ulsan HD 1-4 Seoul,2026-04-15
Ulsan HD,3.65,3.10,0.55,3.37,2.87,0.50,0.28,0.23,0.05,3.65,3.10,0.55,1,4,-3,-3.55,49.70,57.99,49.30,1.03,0.8,248,15,26,15,25.24,18.75,9.95,11,3,24,8,7,160.5,60.75,59.67,50.94,115.2,50.53,3,Ulsan HD 1-4 Seoul,2026-04-15
Anyang,1.60,1.81,-0.21,1.20,1.14,0.06,0.40,0.67,-0.27,1.60,1.81,-0.21,1,1,0,0.21,30.80,26.76,45.60,0.29,1.85,109,13,14,19,48.28,10.27,23.06,3,4,13,5,6,42.9,15.16,105.53,91.24,67.8,36.26,3,Gimcheon Sangmu 1-1 Anyang,2026-04-12
Gimcheon Sangmu,1.81,1.60,0.21,1.14,1.20,-0.06,0.67,0.40,0.27,1.81,1.60,0.21,1,1,0,-0.21,69.20,73.24,54.26,1.85,0.29,356,23,19,14,10.27,48.28,10.79,4,3,32,12,10,240.1,84.84,10.13,8.76,119.2,63.74,0,Gimcheon Sangmu 1-1 Anyang,2026-04-12
Gangwon,1.46,0.62,0.84,1.45,0.57,0.88,0.00,0.05,-0.05,1.46,0.62,0.84,2,0,2,1.16,45.50,55.59,49.92,0.53,0.43,252,5,14,6,26.42,13.95,11.07,8,8,18,2,18,132.5,70.52,90.93,75.11,175.03,92.29,0,Daejeon Hana Citizen 0-2 Gangwon,2026-04-12
Daejeon Hana Citizen,0.62,1.46,-0.84,0.57,1.45,-0.88,0.05,0.00,0.05,0.62,1.46,-0.84,0,2,-2,-1.16,54.50,44.41,42.97,0.43,0.53,210,7,6,14,13.95,26.42,10.37,8,8,20,3,9,55.4,29.48,30.13,24.89,14.63,7.71,0,Daejeon Hana Citizen 0-2 Gangwon,2026-04-12
Ulsan HD,2.26,1.45,0.81,2.26,1.33,0.93,0.00,0.13,-0.13,2.26,1.45,0.81,2,1,1,0.19,45.50,46.56,44.83,0.87,0.89,192,9,13,13,14.94,14.61,25.25,3,4,13,3,13,110.4,46.23,116.27,73.62,176.33,69.38,0,Incheon United 1-2 Ulsan HD,2026-04-11
Incheon United,1.45,2.26,-0.81,1.33,2.26,-0.93,0.13,0.00,0.13,1.45,2.26,-0.81,1,2,-1,-0.19,54.50,53.44,43.37,0.89,0.87,240,14,13,13,14.61,14.94,14.34,4,3,15,3,8,128.4,53.77,41.67,26.38,77.83,30.62,1,Incheon United 1-2 Ulsan HD,2026-04-11
Bucheon 1995,1.54,1.01,0.53,1.51,0.99,0.52,0.03,0.03,0.00,1.54,1.01,0.53,1,0,1,0.47,50.60,43.03,41.22,0.12,1.09,165,5,8,12,66.67,11.01,21.38,4,6,10,1,4,44.6,32.63,67.73,42.21,63.23,35.14,1,Gwangju 0-1 Bucheon 1995,2026-04-11
Gwangju,1.01,1.54,-0.53,0.99,1.51,-0.52,0.03,0.03,0.00,1.01,1.54,-0.53,0,1,-1,-0.47,49.40,56.97,48.60,1.09,0.12,239,11,12,8,11.01,66.67,24.70,6,4,22,3,10,92.1,67.37,92.73,57.79,116.73,64.86,0,Gwangju 0-1 Bucheon 1995,2026-04-11
Jeonbuk Motors,1.04,1.41,-0.37,0.98,1.41,-0.43,0.06,0.00,0.06,1.04,1.41,-0.37,0,1,-1,-0.63,47.10,54.32,42.23,0.57,0.91,154,5,9,8,15.79,8.79,12.68,4,6,16,1,15,87.7,60.52,72.87,60.73,129.73,63.83,2,Seoul 1-0 Jeonbuk Motors,2026-04-11
Seoul,1.41,1.04,0.37,1.41,0.98,0.43,0.00,0.06,-0.06,1.41,1.04,0.37,1,0,1,0.63,52.90,45.68,42.20,0.91,0.57,153,8,8,9,8.79,15.79,10.45,6,4,10,1,12,57.2,39.48,47.13,39.28,73.5,36.17,1,Seoul 1-0 Jeonbuk Motors,2026-04-11
Jeju FC,1.10,2.86,-1.76,1.00,2.85,-1.85,0.10,0.01,0.09,1.10,2.86,-1.76,2,0,2,3.76,26.40,23.31,37.46,0.29,0.83,67,5,5,17,17.24,20.48,16.97,4,6,4,1,15,16.3,7.74,157.47,99.37,102.6,81.99,1,Pohang Steelers 0-2 Jeju FC,2026-04-11
Pohang Steelers,2.86,1.10,1.76,2.85,1.00,1.85,0.01,0.10,-0.09,2.86,1.10,1.76,0,2,-2,-3.76,73.60,76.69,49.51,0.83,0.29,349,17,17,5,20.48,17.24,6.59,6,4,26,3,12,194.2,92.26,1.0,0.63,22.53,18.01,11,Pohang Steelers 0-2 Jeju FC,2026-04-11
Gimcheon Sangmu,1.05,3.30,-2.25,0.99,2.41,-1.42,0.06,0.13,-0.07,1.05,2.54,-1.49,1,2,-1,1.25,57.80,61.74,47.42,0.84,0.56,243,15,8,16,9.52,28.57,10.50,7,5,19,6,19,96.2,54.01,51.2,47.97,78.33,44.07,0,Incheon United 2-1 Gimcheon Sangmu,2026-04-05
Incheon United,3.30,1.05,2.25,2.41,0.99,1.42,0.13,0.06,0.07,2.54,1.05,1.49,2,1,1,-1.25,42.20,38.26,40.00,0.56,0.84,116,13,16,8,28.57,9.52,12.75,5,7,18,4,8,81.9,45.99,55.53,52.03,99.43,55.93,0,Incheon United 2-1 Gimcheon Sangmu,2026-04-05
Seoul,0.53,1.72,-1.19,0.34,1.03,-0.69,0.19,0.69,-0.50,0.53,1.72,-1.19,1,1,0,1.19,57.00,53.21,49.83,0.66,0.35,211,13,9,8,13.64,22.86,7.14,5,2,25,9,19,84.6,53.38,43.0,44.79,78.03,54.05,1,Anyang 1-1 Seoul,2026-04-05
Anyang,1.72,0.53,1.19,1.03,0.34,0.69,0.69,0.19,0.50,1.72,0.53,1.19,1,1,0,-1.19,43.00,46.79,45.38,0.35,0.66,143,7,8,9,22.86,13.64,10.39,2,5,17,4,15,73.9,46.62,53.0,55.21,66.33,45.95,2,Anyang 1-1 Seoul,2026-04-05
Gwangju,0.03,3.47,-3.44,0.00,3.01,-3.01,0.03,0.46,-0.43,0.03,3.47,-3.44,0,3,-3,0.44,55.80,24.81,32.88,0.13,1.04,78,1,1,19,7.69,18.27,7.05,2,21,5,2,16,4.2,2.37,12.47,9.5,0.0,0.0,0,Gangwon 3-0 Gwangju,2026-04-04
Gangwon,3.47,0.03,3.44,3.01,0.00,3.01,0.46,0.03,0.43,3.47,0.03,3.44,3,0,3,-0.44,44.20,75.19,54.41,1.04,0.13,255,21,19,1,18.27,7.69,7.04,21,2,23,8,23,173.0,97.63,118.73,90.5,422.13,100.0,0,Gangwon 3-0 Gwangju,2026-04-04
Daejeon Hana Citizen,0.99,3.83,-2.84,0.46,2.45,-1.99,0.52,0.63,-0.11,0.99,3.07,-2.08,0,1,-1,1.84,39.50,40.93,45.65,0.36,1.2,143,9,9,14,25.0,11.67,14.07,5,3,14,5,14,43.4,29.38,99.53,80.88,60.4,41.09,0,Pohang Steelers 1-0 Daejeon Hana Citizen,2026-04-04
Pohang Steelers,3.83,0.99,2.84,2.45,0.46,1.99,0.63,0.52,0.11,3.07,0.99,2.08,1,0,1,-1.84,60.50,59.07,46.59,1.2,0.36,226,16,14,9,11.67,25.0,8.71,3,5,20,8,15,104.3,70.62,23.53,19.12,86.6,58.91,7,Pohang Steelers 1-0 Daejeon Hana Citizen,2026-04-04
Ulsan HD,1.68,1.96,-0.28,1.68,0.98,0.70,0.00,0.98,-0.98,1.68,1.96,-0.28,0,2,-2,-1.72,46.50,50.94,49.94,1.18,0.57,223,16,14,11,11.86,19.3,16.83,2,8,21,5,10,122.5,53.54,87.47,59.77,114.93,50.86,0,Jeonbuk Motors 2-0 Ulsan HD,2026-04-04
Jeonbuk Motors,1.96,1.68,0.28,0.98,1.68,-0.70,0.98,0.00,0.98,1.96,1.68,0.28,2,0,2,1.72,53.50,49.06,45.94,0.57,1.18,212,13,11,14,19.3,11.86,10.53,8,2,14,3,12,106.3,46.46,58.87,40.23,111.03,49.14,2,Jeonbuk Motors 2-0 Ulsan HD,2026-04-04
Bucheon 1995,0.35,1.30,-0.95,0.26,1.30,-1.04,0.08,0.00,0.08,0.35,1.30,-0.95,0,1,-1,-0.05,54.60,58.44,46.84,0.86,0.43,203,13,4,10,4.65,23.26,8.95,7,8,19,7,12,68.3,58.88,48.33,46.77,58.53,48.97,1,Jeju FC 1-0 Bucheon 1995,2026-04-04
Jeju FC,1.30,0.35,0.95,1.30,0.26,1.04,0.00,0.08,-0.08,1.30,0.35,0.95,1,0,1,0.05,45.40,41.56,44.09,0.43,0.86,159,6,10,4,23.26,4.65,10.69,8,7,6,1,12,47.7,41.12,55.0,53.23,61.0,51.03,3,Jeju FC 1-0 Bucheon 1995,2026-04-04
Gangwon,0.36,2.40,-2.04,0.22,2.31,-2.09,0.14,0.09,0.05,0.36,2.40,-2.04,0,1,-1,1.04,44.90,52.94,50.86,0.43,0.53,183,10,6,14,13.95,26.42,10.06,4,3,20,7,17,80.3,47.12,90.6,75.96,125.97,60.19,0,Pohang Steelers 1-0 Gangwon,2026-03-28
Pohang Steelers,2.40,0.36,2.04,2.31,0.22,2.09,0.09,0.14,-0.05,2.40,0.36,2.04,1,0,1,-1.04,55.10,47.06,46.25,0.53,0.43,182,15,14,6,26.42,13.95,9.48,3,4,20,8,8,90.1,52.88,28.67,24.04,83.33,39.81,4,Pohang Steelers 1-0 Gangwon,2026-03-28
Bucheon 1995,1.10,0.69,0.41,0.99,0.60,0.39,0.11,0.08,0.03,1.10,0.69,0.41,0,0,0,-0.41,50.20,58.78,49.87,0.7,0.27,209,9,13,11,18.57,40.74,13.28,4,3,24,4,9,135.0,68.15,45.73,36.53,120.43,59.41,0,Pohang Steelers 0-0 Bucheon 1995,2026-03-22
Pohang Steelers,0.69,1.10,-0.41,0.60,0.99,-0.39,0.08,0.11,-0.03,0.69,1.10,-0.41,0,0,0,0.41,49.80,41.22,43.48,0.27,0.7,155,10,11,13,40.74,18.57,13.48,3,4,17,7,11,63.1,31.85,79.47,63.47,82.27,40.59,6,Pohang Steelers 0-0 Bucheon 1995,2026-03-22
Jeju FC,0.35,2.10,-1.75,0.31,1.24,-0.93,0.04,0.10,-0.06,0.35,1.34,-0.99,1,1,0,1.75,27.20,17.54,40.28,0.11,1.6,78,3,6,16,54.55,10.0,19.65,2,7,11,3,17,17.3,5.12,137.13,97.91,52.37,29.45,3,Gangwon 1-1 Jeju FC,2026-03-22
Gangwon,2.10,0.35,1.75,1.24,0.31,0.93,0.10,0.04,0.06,1.34,0.35,0.99,1,1,0,-1.75,72.80,82.46,55.52,1.6,0.11,441,23,16,6,10.0,54.55,6.52,7,2,42,11,6,320.6,94.88,2.93,2.09,125.47,70.55,1,Gangwon 1-1 Jeju FC,2026-03-22
Incheon United,1.89,0.50,1.39,1.86,0.39,1.47,0.03,0.11,-0.08,1.89,0.50,1.39,1,0,1,-0.39,69.10,60.33,48.60,0.42,0.34,310,13,12,6,28.57,17.65,8.62,6,5,21,7,6,154.8,78.66,12.27,7.25,76.5,42.62,1,Anyang 0-1 Incheon United,2026-03-22
Anyang,0.50,1.89,-1.39,0.39,1.86,-1.47,0.11,0.03,0.08,0.50,1.89,-1.39,0,1,-1,0.39,30.90,39.67,48.07,0.34,0.42,135,7,6,12,17.65,28.57,18.34,5,6,10,2,15,42.0,21.34,156.87,92.75,103.0,57.38,1,Anyang 0-1 Incheon United,2026-03-22
Gimcheon Sangmu,1.08,1.61,-0.53,1.01,1.60,-0.59,0.07,0.01,0.06,1.08,1.61,-0.53,0,0,0,0.53,62.10,50.93,43.68,0.8,0.77,237,21,10,19,12.5,24.68,7.78,5,7,13,2,21,95.5,43.83,10.47,6.6,59.03,20.89,2,Ulsan HD 0-0 Gimcheon Sangmu,2026-03-22
Ulsan HD,1.61,1.08,0.53,1.60,1.01,0.59,0.01,0.07,-0.06,1.61,1.08,0.53,0,0,0,-0.53,37.90,49.07,49.98,0.77,0.8,198,18,19,10,24.68,12.5,13.43,7,5,19,4,11,122.4,56.17,148.07,93.4,223.53,79.11,1,Ulsan HD 0-0 Gimcheon Sangmu,2026-03-22
Gwangju,0.61,2.44,-1.83,0.51,2.39,-1.88,0.10,0.04,0.06,0.61,2.44,-1.83,0,5,-5,-3.17,47.40,47.26,43.80,0.6,1.4,160,7,8,12,13.33,8.57,12.44,8,7,14,3,13,50.1,34.67,51.4,52.45,45.53,19.19,0,Seoul 5-0 Gwangju,2026-03-22
Seoul,2.44,0.61,1.83,2.39,0.51,1.88,0.04,0.10,-0.06,2.44,0.61,1.83,5,0,5,3.17,52.60,52.74,46.52,1.4,0.6,200,11,12,8,8.57,13.33,8.76,7,8,17,2,13,94.4,65.33,46.6,47.55,191.75,80.81,0,Seoul 5-0 Gwangju,2026-03-22
Jeonbuk Motors,1.43,0.55,0.88,1.00,0.49,0.51,0.43,0.06,0.37,1.43,0.55,0.88,1,0,1,0.12,37.30,44.75,48.44,0.54,1.25,166,13,12,9,22.22,7.2,14.43,7,5,18,6,13,100.6,47.66,131.33,88.42,171.13,86.37,3,Daejeon Hana Citizen 0-1 Jeonbuk Motors,2026-03-21
Daejeon Hana Citizen,0.55,1.43,-0.88,0.49,1.00,-0.51,0.06,0.43,-0.37,0.55,1.43,-0.88,0,1,-1,-0.12,62.70,55.25,48.60,1.25,0.54,296,19,9,12,7.2,22.22,7.49,5,7,23,2,12,110.5,52.34,17.2,11.58,27.0,13.63,2,Daejeon Hana Citizen 0-1 Jeonbuk Motors,2026-03-21
