league,season,game_week,home_name,away_name,date,homeGoalCount,awayGoalCount,totalGoalCount,team_a_corners,team_b_corners,totalCornerCount,team_a_yellow_cards,team_b_yellow_cards,team_a_red_cards,team_b_red_cards,team_a_shotsOnTarget,team_b_shotsOnTarget,team_a_shotsOffTarget,team_b_shotsOffTarget,team_a_shots,team_b_shots,team_a_fouls,team_b_fouls,team_a_possession,team_b_possession,stadium_name,stadium_location,team_a_cards_num,team_b_cards_num,avg_odds_ft_1,avg_odds_ft_x,avg_odds_ft_2,avg_odds_ft_over15,avg_odds_ft_over25,avg_odds_ft_over35,avg_odds_btts_yes,avg_odds_btts_no,avg_odds_corners_over_85,avg_odds_corners_over_95,avg_odds_corners_under_85,avg_odds_corners_under_95,avg_odds_1st_half_over05,avg_odds_1st_half_over15,avg_odds_1st_half_under05,avg_odds_1st_half_under15,overallGoalCount,ht_goals_team_a,ht_goals_team_b,goals_2hg_team_a,goals_2hg_team_b,GoalCount_2hg,HTGoalCount,winningTeam,no_home_away,btts_potential,goalTimingDisabled,attendance,corner_timings_recorded,card_timings_recorded,team_a_fh_corners,team_b_fh_corners,team_a_2h_corners,team_b_2h_corners,corner_fh_count,corner_2h_count,team_a_fh_cards,team_b_fh_cards,team_a_2h_cards,team_b_2h_cards,total_fh_cards,total_2h_cards,attacks_recorded,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_attacks,team_b_attacks,team_a_xg,team_b_xg,total_xg,team_a_penalties_won,team_b_penalties_won,team_a_penalty_goals,team_b_penalty_goals,team_a_penalty_missed,team_b_penalty_missed,pens_recorded,goal_timings_recorded,team_a_0_10_min_goals,team_b_0_10_min_goals,team_a_corners_0_10_min,team_b_corners_0_10_min,team_a_cards_0_10_min,team_b_cards_0_10_min,throwins_recorded,team_a_throwins,team_b_throwins,freekicks_recorded,team_a_freekicks,team_b_freekicks,goalkicks_recorded,team_a_goalkicks,team_b_goalkicks,o25_potential,o15_potential,o15HT_potential,o05HT_potential,home_ppg,away_ppg,pre_match_home_ppg,pre_match_away_ppg,pre_match_teamA_overall_ppg,pre_match_teamB_overall_ppg,u25_potential,u15_potential,team_a_xg_prematch,team_b_xg_prematch,total_xg_prematch,matches_completed_minimum,over05,over15,over25,over35,over45,over55,btts,pinnacle_corners_over_85,pinnacle_corners_under_85,pinnacle_corners_over_95,pinnacle_corners_under_95,pinnacle_1st_half_under05,pinnacle_1st_half_over15,pinnacle_1st_half_under15,pinnacle_1st_half_over05,pinnacle_ft_over15,pinnacle_ft_over25,pinnacle_ft_over35,pinnacle_btts_yes,pinnacle_btts_no,pinnacle_ft_1,pinnacle_ft_2,pinnacle_ft_x
Uruguay_Primera_División_2025,2025,5,Danubio,Racing,2025-06-18 18:00:00,1,2,3,7,6,13,2,2,0,0,2,4,6,12,8,16,13,13,40,60,Estadio Jardines del Hipódromo,"Avenida Dr. Carlos Nery esq. Avenida Acrópolis, Montevideo",2,2,2.69,2.91,2.36,1.54,2.63,5.5,2.2,1.6,1.55,1.88,2.28,1.78,1.59,3.7,2.25,1.25,3,1,0,0,2,2,1,4354,0,40,0,-1,2,1,4,1,3,5,5,8,1,0,1,2,1,3,1,36,52,90,97,0.92,1.67,2.58,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,24,25,1,4,4,1,13,9,25,55,15,65,1.39,1.72,1.2,1.7,1.16,1.53,75,45,1.27,1.57,2.84,37,True,True,True,False,False,False,True,,,,,2.40,,,1.60,1.58,2.86,5.94,2.27,1.66,2.90,2.77,3.01
Uruguay_Primera_División_2025,2025,5,Torque,Miramar Misiones,2025-06-18 20:30:00,0,0,0,8,8,16,1,3,0,0,6,5,11,13,17,18,4,14,55,45,,,1,3,1.56,3.7,5.1,1.3,2.15,3.65,2.0,1.72,1.5,1.8,2.19,1.8,1.4,2.9,2.8,1.37,0,0,0,0,0,0,0,-1,0,67,0,-1,2,1,6,4,2,4,10,6,0,0,1,3,0,4,1,56,52,93,89,1.89,1.86,3.75,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,23,18,1,2,1,1,14,6,50,84,44,61,1.33,0.79,1.22,0.44,1.05,0.63,50,17,1.38,1.15,2.53,37,False,False,False,False,False,False,False,1.65,2.21,2.08,1.74,2.86,3.18,1.37,1.44,1.37,2.13,3.83,2.15,1.72,1.57,6.44,3.94
Uruguay_Primera_División_2025,2025,5,Nacional,Juventud,2025-06-18 23:30:00,4,1,5,3,3,6,2,2,0,0,7,4,11,11,18,15,12,10,58,42,Estadio Gran Parque Central,"Avenida Carlos Anaya 2900 y Tristán Azambuya, Montevideo",2,2,1.48,4.2,6.26,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0,2,1,3,2,4359,0,70,0,-1,2,1,1,0,2,3,1,5,2,2,0,0,4,0,1,20,13,39,32,1.76,1.31,3.07,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,13,18,1,0,3,1,7,5,60,80,25,60,2.38,1.39,2.1,1.7,2.26,2.05,40,20,1.67,1.3,2.97,37,True,True,True,True,True,False,True,,,,,,,,,,,,,,1.49,6.57,4.52
Uruguay_Primera_División_2025,2025,5,Cerro,Cerro Largo,2025-06-19 13:15:00,2,1,3,3,8,11,2,3,0,0,2,3,5,9,7,12,12,16,49,51,Estadio Monumental Luis Tróccoli,"Avenida Dr. Santín Carlos Rossi 4702 esq. Camina La Paloma, Barrio La Paloma, Montevideo",2,3,3.15,2.85,2.43,1.55,2.69,5.75,2.15,1.52,1.68,2.1,2.1,1.67,1.55,3.6,2.16,1.22,3,1,0,1,1,2,1,4360,0,50,0,-1,2,1,5,0,6,0,5,6,1,2,1,1,3,2,1,61,57,91,95,1.03,1.38,2.41,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,17,35,1,2,2,1,5,9,39,62,17,61,1.61,1.11,1.33,0.67,1.05,1.21,62,39,0.9,1.17,2.07,37,True,True,True,False,False,False,True,1.75,2.05,2.23,1.64,2.29,,,1.65,1.62,2.95,6.21,2.30,1.64,2.86,2.88,2.93
Uruguay_Primera_División_2025,2025,5,Progreso,Boston River,2025-06-19 15:30:00,2,0,2,5,3,8,0,3,0,0,5,1,7,1,12,2,11,16,41,59,Parque Abraham Paladino,"Avenida Emilio Romero, Montevideo",0,3,3.0,2.9,2.35,1.45,2.35,3.9,1.83,1.85,1.62,2.31,2.22,1.75,1.42,3.23,2.55,1.34,2,1,0,1,0,1,1,4378,0,58,0,-1,2,1,2,1,3,2,3,5,0,2,0,1,2,1,1,76,49,113,108,1.66,0.57,2.23,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,26,20,1,6,2,1,5,10,47,80,16,69,1.28,1.11,0.8,1.22,0.95,1.37,53,21,1.4,1.12,2.52,37,True,True,False,False,False,False,False,1.62,2.24,2.03,1.76,2.60,3.23,1.34,1.52,1.45,2.43,4.59,2.01,1.83,3.35,2.43,3.05
Uruguay_Primera_División_2025,2025,5,Liverpool FC Montevideo,Peñarol,2025-06-19 18:00:00,3,2,5,1,7,8,4,2,0,0,5,6,3,15,8,21,14,10,48,52,Estadio Belvedere,"Avenida Julián Laguna 4401 entre José Mármol y Carlos María Ramírez, Barrio Belvedere, Montevideo",4,2,3.4,3.0,2.11,1.38,2.23,4.5,1.91,1.83,1.7,2.48,2.13,1.7,1.44,3.1,2.62,1.33,5,0,1,3,1,4,1,4357,0,58,0,-1,2,1,0,2,1,5,2,6,2,1,2,1,3,3,1,50,80,82,104,1.22,2.31,3.53,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,17,33,1,4,4,1,4,5,43,63,32,47,1.95,1.71,2.33,2.1,1.95,1.95,57,37,1.59,1.52,3.11,38,True,True,True,True,True,False,True,1.70,2.13,2.13,1.70,2.74,3.32,1.34,1.47,1.40,2.26,4.10,1.95,1.88,3.80,2.14,3.24
Uruguay_Primera_División_2025,2025,5,Plaza Colonia,River Plate,2025-06-19 20:30:00,0,0,0,3,2,5,5,3,0,0,4,1,11,3,15,4,16,15,60,40,,,5,3,2.05,3.0,3.8,1.42,2.45,4.75,2.08,1.62,1.8,2.5,1.91,1.64,1.52,3.55,2.38,1.25,0,0,0,0,0,0,0,-1,0,42,0,-1,2,1,1,1,2,1,2,3,2,2,3,1,4,4,1,52,37,82,71,1.6,0.6,2.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,33,18,1,4,3,1,7,8,37,53,21,63,0.61,0.79,1.0,0.3,1.16,0.53,64,47,1.33,1.22,2.55,37,False,False,False,False,False,False,False,,,,,,,,,,,,,,1.94,4.41,3.35
Uruguay_Primera_División_2025,2025,6,Juventud,Danubio,2025-06-21 17:00:00,3,1,4,6,7,13,0,1,0,0,7,2,4,7,11,9,10,8,52,48,Estadio Municipal Parque Artigas,"Avenida José Artigas S/N y Blandengues, Las Piedras",0,1,2.3,3.0,2.8,1.3,1.97,3.4,1.8,1.93,1.57,1.85,2.3,1.79,1.42,2.88,2.65,1.36,4,0,0,3,1,4,0,4365,0,56,0,-1,2,1,1,0,5,7,1,12,0,0,0,1,0,1,1,47,58,95,97,1.53,1.13,2.66,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,17,37,1,1,4,1,5,8,39,67,28,67,1.89,0.95,2.44,1.11,1.95,1.1,61,33,1.38,1.28,2.66,37,True,True,True,True,False,False,True,1.49,2.56,1.82,1.98,2.89,3.03,1.37,1.40,1.31,2.06,3.49,1.74,2.08,2.49,3.15,2.97
Uruguay_Primera_División_2025,2025,6,Miramar Misiones,Nacional,2025-06-21 19:30:00,0,2,2,5,5,10,4,3,0,0,4,5,3,9,7,14,21,13,52,48,Parque Luis Méndez Piana,"Avenida Ramón V. Benzano, Montevideo",4,3,8.0,5.25,1.22,1.15,1.57,2.38,1.95,1.75,1.51,1.83,2.35,1.85,1.22,2.15,3.6,1.6,2,0,2,0,0,0,2,4359,0,54,0,-1,2,1,1,1,4,4,2,8,3,2,1,1,5,2,1,53,51,100,97,1.12,1.6,2.72,0,2,0,2,0,0,1,1,0,0,0,0,0,0,1,16,24,1,7,4,1,8,10,54,64,38,80,0.78,1.95,0.8,2.44,0.65,2.3,46,36,1.19,1.58,2.77,37,True,True,False,False,False,False,False,1.48,2.56,1.79,2.00,,2.36,1.58,,1.18,1.57,2.45,1.88,1.91,8.02,1.33,5.28
Uruguay_Primera_División_2025,2025,6,River Plate,Liverpool FC Montevideo,2025-06-22 14:00:00,2,1,3,6,6,12,4,3,0,1,3,5,13,8,16,13,18,9,39,61,Estadio Luis Franzini,"Avenida Dr. Julio Herrera y Reissig 687 esq. Avenida Sarmiento, Parque Rodó, Montevideo",4,5,3.5,3.07,1.97,1.22,1.76,3.1,1.8,1.95,1.67,2.46,2.08,1.58,1.33,2.55,2.9,1.42,3,1,0,1,1,2,1,4364,0,47,0,-1,2,1,3,3,3,3,6,6,1,2,3,2,3,5,1,76,66,105,112,1.77,1.65,3.42,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,20,10,1,4,1,1,6,5,27,63,21,57,0.78,1.44,0.78,1.6,0.55,2.0,74,37,1.21,1.33,2.54,37,True,True,True,False,False,False,True,,,,,,,,,,,,,,4.32,1.85,3.69
Uruguay_Primera_División_2025,2025,6,Racing,Progreso,2025-06-22 18:00:00,3,0,3,8,7,15,0,2,0,0,5,4,12,9,17,13,13,12,48,52,Parque Osvaldo Roberto,"Avenida Millán 4712 entre Avenida Sayago y Vedia, Barrio Sayago, Montevideo",0,2,1.91,3.25,3.78,1.3,2.0,3.2,1.82,1.96,1.57,1.91,2.25,1.8,1.38,2.75,2.8,1.39,3,1,0,2,0,2,1,4354,0,67,0,-1,2,1,4,3,4,4,7,8,0,0,0,2,0,2,1,83,89,134,156,2.03,1.76,3.78,0,0,0,0,0,0,1,1,0,0,1,2,0,0,1,11,28,1,3,4,1,7,8,33,73,11,45,1.16,0.84,1.33,1.11,1.6,1.05,67,28,1.4,1.3,2.7,37,True,True,True,False,False,False,False,,,,,,,,,,,,,,2.01,3.97,3.45
Uruguay_Primera_División_2025,2025,6,Peñarol,Wanderers,2025-06-22 20:30:00,2,0,2,5,12,17,1,1,0,0,6,2,4,14,10,16,8,6,55,45,Estadio Campeón del Siglo,"Camino de los Siete Cerros, Vila Don Bosco, Montevideo",1,1,1.47,3.85,6.0,1.33,1.97,3.4,2.2,1.62,1.73,1.98,2.0,1.62,1.38,2.89,2.8,1.37,2,1,0,1,0,1,1,4358,0,44,0,-1,2,1,2,7,3,5,9,8,0,1,1,0,1,1,1,58,76,130,115,1.49,1.7,3.18,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,17,21,1,2,3,1,12,4,50,78,33,78,2.35,0.79,1.78,0.89,1.85,1.05,50,22,1.67,1.09,2.76,37,True,True,False,False,False,False,False,,,,,,,,,,,,,,1.49,7.36,4.20
Uruguay_Primera_División_2025,2025,6,Defensor Sporting,Cerro,2025-06-22 23:00:00,2,1,3,8,5,13,3,2,0,0,6,1,13,9,19,10,9,13,61,39,Estadio Luis Franzini,"Avenida Dr. Julio Herrera y Reissig 687 esq. Avenida Sarmiento, Parque Rodó, Montevideo",3,2,1.7,3.52,5.04,1.35,2.2,3.8,2.1,1.63,1.7,2.0,2.16,1.7,1.48,3.2,2.5,1.3,3,0,0,2,1,3,0,4361,0,45,0,-1,2,1,4,1,4,4,5,8,0,0,3,2,0,5,1,38,15,60,46,1.88,0.81,2.69,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,22,25,1,1,0,1,10,12,45,65,30,45,2.05,0.95,1.9,0.8,1.7,1.15,55,35,1.45,0.91,2.36,37,True,True,True,False,False,False,True,,,,,,,,,,,,,,1.69,5.49,3.69
Uruguay_Primera_División_2025,2025,6,Boston River,Torque,2025-06-23 21:00:00,2,1,3,5,6,11,2,3,0,0,7,2,6,13,13,15,5,12,45,55,Estadio Campeones Olímpicos,"Avenida Zelmar Michelinni, Ciudad de Florida",2,3,3.14,3.13,2.42,1.33,2.2,4.2,1.95,1.79,1.67,2.05,2.07,1.67,1.4,2.9,2.5,1.3,3,1,1,1,0,1,2,4363,0,55,0,-1,2,1,4,2,1,4,6,5,0,1,2,2,1,4,1,35,57,88,97,1.57,1.5,3.07,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,21,29,1,0,1,1,14,2,45,60,25,65,1.84,1.32,1.5,0.9,1.3,1.05,55,40,1.12,1.34,2.46,37,True,True,True,False,False,False,True,,,,,,,,,,,,,,3.18,2.45,3.17
Uruguay_Primera_División_2025,2025,6,Cerro Largo,Plaza Colonia,2025-06-23 23:00:00,0,1,1,7,3,10,2,1,0,0,4,5,12,9,16,14,14,5,59,41,Estadio Municipal Arquitecto Antonio Eleuterio Ubilla,"Calle José Batlle y Ordóñez 695 esc. 101, Melo",2,1,2.23,2.98,3.8,1.53,2.52,5.15,2.1,1.7,1.83,2.68,1.94,1.58,1.6,3.74,2.35,1.25,1,0,0,0,1,1,0,4351,0,60,0,-1,2,1,3,1,4,2,4,6,0,1,2,0,1,2,1,18,20,50,48,1.41,1.37,2.79,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,22,24,1,1,2,1,4,9,30,70,20,40,1.53,1.26,1.7,1.3,1.15,1.15,70,30,1.42,1.23,2.65,37,True,False,False,False,False,False,False,,,,,,,,,,,,,,2.24,3.86,2.99
Uruguay_Primera_División_2025,2025,7,Liverpool FC Montevideo,Wanderers,2025-06-28 15:00:00,1,2,3,5,3,8,1,4,0,0,4,4,8,6,12,10,8,17,52,48,Estadio Belvedere,"Avenida Julián Laguna 4401 entre José Mármol y Carlos María Ramírez, Barrio Belvedere, Montevideo",1,4,2.0,3.25,3.52,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1,2,3,0,4350,0,50,0,-1,2,1,0,0,5,3,0,8,0,1,1,3,1,4,1,62,61,102,95,1.49,1.36,2.84,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,14,16,1,5,3,1,5,11,50,60,30,55,1.95,0.79,2.4,0.8,1.9,1.0,50,40,1.55,1.15,2.7,37,True,True,True,False,False,False,True,,,,,,,,,,,,,,2.13,3.70,3.35
